Unnamed: 0,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
111,0 days 00:21:00.030000,HUL,27,0 days 00:01:16.954000,2.0,1.0,,,22.455,31.322,23.177,0 days 00:20:05.531000,0 days 00:20:36.853000,0 days 00:21:00.030000,277.0,284.0,284.0,328.0,True,SOFT,2.0,True,Audi,0 days 00:19:43.076000,2026-06-13 14:06:42.586,1,,False,,False,True,76.954,76.95400000000001
112,0 days 00:23:18.894000,HUL,27,0 days 00:02:18.864000,3.0,1.0,,0 days 00:22:39.189000,28.107,38.397,72.36,0 days 00:21:28.137000,0 days 00:22:06.534000,0 days 00:23:18.894000,213.0,250.0,,282.0,False,SOFT,3.0,True,Audi,0 days 00:21:00.030000,2026-06-13 14:07:59.540,1,,False,,False,False,138.864,138.86399999999998
113,0 days 00:29:08.621000,HUL,27,,4.0,2.0,0 days 00:27:00.825000,,,41.711,34.724,,0 days 00:28:33.928000,0 days 00:29:08.899000,195.0,205.0,289.0,180.0,False,SOFT,1.0,True,Audi,0 days 00:23:18.894000,2026-06-13 14:10:18.404,12,,False,,False,False,,
114,0 days 00:30:24.687000,HUL,27,0 days 00:01:16.066000,5.0,2.0,,,22.318,30.739,23.009,0 days 00:29:30.939000,0 days 00:30:01.678000,0 days 00:30:24.687000,281.0,282.0,287.0,332.0,True,SOFT,2.0,True,Audi,0 days 00:29:08.621000,2026-06-13 14:16:08.131,1,,False,,False,True,76.066,76.066
115,0 days 00:32:11.308000,HUL,27,0 days 00:01:46.621000,6.0,2.0,,0 days 00:32:08.466000,29.255,41.121,36.245,0 days 00:30:53.942000,0 days 00:31:35.063000,0 days 00:32:11.308000,199.0,179.0,,249.0,False,SOFT,3.0,True,Audi,0 days 00:30:24.687000,2026-06-13 14:17:24.197,1,,False,,False,False,106.621,106.621
116,0 days 00:42:39.842000,HUL,27,,7.0,3.0,0 days 00:40:39.360000,,,41.031,26.522,,0 days 00:42:13.414000,0 days 00:42:39.880000,184.0,238.0,293.0,114.0,False,SOFT,4.0,False,Audi,0 days 00:32:11.308000,2026-06-13 14:19:10.818,12,,False,,False,False,,
117,0 days 00:43:56.764000,HUL,27,0 days 00:01:16.922000,8.0,3.0,,,22.33,31.314,23.278,0 days 00:43:02.172000,0 days 00:43:33.486000,0 days 00:43:56.764000,281.0,288.0,285.0,329.0,False,SOFT,5.0,False,Audi,0 days 00:42:39.842000,2026-06-13 14:29:39.352,1,,True,TRACK LIMITS AT TURN 9 LAP 9 ,False,True,76.922,76.922
118,0 days 00:45:34.065000,HUL,27,0 days 00:01:37.301000,9.0,3.0,,0 days 00:45:31.183000,28.946,37.85,30.505,0 days 00:44:25.710000,0 days 00:45:03.560000,0 days 00:45:34.065000,239.0,236.0,,196.0,False,SOFT,6.0,False,Audi,0 days 00:43:56.764000,2026-06-13 14:30:56.274,1,,False,,False,False,97.301,97.301
119,0 days 00:51:35.229000,HUL,27,,10.0,4.0,0 days 00:49:45.697000,,,38.407,28.431,,0 days 00:51:06.892000,0 days 00:51:35.412000,200.0,242.0,294.0,179.0,False,SOFT,1.0,True,Audi,0 days 00:45:34.065000,2026-06-13 14:32:33.575,1,,False,,False,False,,
120,0 days 00:52:50.997000,HUL,27,0 days 00:01:15.768000,11.0,4.0,,,22.191,30.655,22.922,0 days 00:51:57.420000,0 days 00:52:28.075000,0 days 00:52:50.997000,278.0,286.0,280.0,330.0,True,SOFT,2.0,True,Audi,0 days 00:51:35.229000,2026-06-13 14:38:34.739,1,,False,,False,True,75.768,75.768
121,0 days 00:54:32.984000,HUL,27,0 days 00:01:41.987000,12.0,4.0,,0 days 00:54:30.168000,28.602,39.144,34.241,0 days 00:53:19.599000,0 days 00:53:58.743000,0 days 00:54:32.984000,188.0,191.0,,242.0,False,SOFT,3.0,True,Audi,0 days 00:52:50.997000,2026-06-13 14:39:50.507,1,,False,,False,False,101.987,101.987
