Unnamed: 0,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
52,0 days 01:21:24.458000,GAS,10,0 days 00:01:18.013000,14.0,1.0,,,22.341,24.801,30.871,0 days 01:20:28.816000,0 days 01:20:53.617000,0 days 01:21:24.488000,239.0,277.0,273.0,306.0,False,MEDIUM,14.0,True,Alpine,0 days 01:20:06.445000,2026-05-24 20:27:21.919,21,10.0,False,,False,True,78.013,78.01299999999999
53,0 days 01:22:42.053000,GAS,10,0 days 00:01:17.595000,15.0,1.0,,,22.05,24.566,30.979,0 days 01:21:46.538000,0 days 01:22:11.104000,0 days 01:22:42.083000,238.0,278.0,271.0,305.0,True,MEDIUM,15.0,True,Alpine,0 days 01:21:24.458000,2026-05-24 20:28:39.932,1,9.0,False,,False,True,77.595,77.595
54,0 days 01:23:59.622000,GAS,10,0 days 00:01:17.569000,16.0,1.0,,,22.102,24.543,30.924,0 days 01:23:04.185000,0 days 01:23:28.728000,0 days 01:23:59.652000,237.0,277.0,271.0,304.0,True,MEDIUM,16.0,True,Alpine,0 days 01:22:42.053000,2026-05-24 20:29:57.527,1,9.0,False,,False,True,77.569,77.56899999999999
55,0 days 01:25:17.255000,GAS,10,0 days 00:01:17.633000,17.0,1.0,,,22.08,24.672,30.881,0 days 01:24:21.732000,0 days 01:24:46.404000,0 days 01:25:17.285000,238.0,278.0,272.0,304.0,False,MEDIUM,17.0,True,Alpine,0 days 01:23:59.622000,2026-05-24 20:31:15.096,1,9.0,False,,False,True,77.633,77.633
56,0 days 01:26:34.711000,GAS,10,0 days 00:01:17.456000,18.0,1.0,,,22.106,24.552,30.798,0 days 01:25:39.391000,0 days 01:26:03.943000,0 days 01:26:34.741000,236.0,280.0,274.0,303.0,True,MEDIUM,18.0,True,Alpine,0 days 01:25:17.255000,2026-05-24 20:32:32.729,12,9.0,False,,False,True,77.456,77.456
57,0 days 01:27:52.130000,GAS,10,0 days 00:01:17.419000,19.0,1.0,,,22.026,24.603,30.79,0 days 01:26:56.767000,0 days 01:27:21.370000,0 days 01:27:52.160000,239.0,280.0,270.0,304.0,True,MEDIUM,19.0,True,Alpine,0 days 01:26:34.711000,2026-05-24 20:33:50.185,1,9.0,False,,False,True,77.419,77.41900000000001
58,0 days 01:29:09.637000,GAS,10,0 days 00:01:17.507000,20.0,1.0,,,22.024,24.609,30.874,0 days 01:28:14.184000,0 days 01:28:38.793000,0 days 01:29:09.667000,238.0,276.0,272.0,305.0,False,MEDIUM,20.0,True,Alpine,0 days 01:27:52.130000,2026-05-24 20:35:07.604,1,9.0,False,,False,True,77.507,77.507
59,0 days 01:30:27.411000,GAS,10,0 days 00:01:17.774000,21.0,1.0,,,22.219,24.704,30.851,0 days 01:29:31.886000,0 days 01:29:56.590000,0 days 01:30:27.441000,239.0,278.0,276.0,306.0,False,MEDIUM,21.0,True,Alpine,0 days 01:29:09.637000,2026-05-24 20:36:25.111,1,9.0,False,,False,True,77.774,77.774
60,0 days 01:31:44.843000,GAS,10,0 days 00:01:17.432000,22.0,1.0,,,22.118,24.573,30.741,0 days 01:30:49.559000,0 days 01:31:14.132000,0 days 01:31:44.873000,238.0,282.0,280.0,309.0,False,MEDIUM,22.0,True,Alpine,0 days 01:30:27.411000,2026-05-24 20:37:42.885,1,9.0,False,,False,True,77.432,77.432
61,0 days 01:33:02.934000,GAS,10,0 days 00:01:18.091000,23.0,1.0,,,22.296,25.052,30.743,0 days 01:32:07.169000,0 days 01:32:32.221000,0 days 01:33:02.964000,240.0,278.0,274.0,304.0,False,MEDIUM,23.0,True,Alpine,0 days 01:31:44.843000,2026-05-24 20:39:00.317,1,9.0,False,,False,True,78.091,78.091
