Driver,Team,GP,Rule_Era,AirTemp_p1,Humidity_p1,Pressure_p1,Rainfall_p1,laptime_sum_sectortimes_p1,LapTimeDiff_p1,Compound_p1,AirTemp_p2,Humidity_p2,Pressure_p2,Rainfall_p2,laptime_sum_sectortimes_p2,LapTimeDiff_p2,Compound_p2,AirTemp_p3,Humidity_p3,Pressure_p3,Rainfall_p3,laptime_sum_sectortimes_p3,LapTimeDiff_p3,Compound_p3,Sprint-Session,AirTemp_sprint_quali,Humidity_sprint_quali,Pressure_sprint_quali,Rainfall_sprint_quali,laptime_sum_sectortimes_sprint_quali,LapTimeDiff_sprint_quali,Compound_sprint_quali,AirTemp_quali,Humidity_quali,Pressure_quali,Rainfall_quali,Compound_quali,Season,Sprint_Race_Era,Sprint_Weekend,race_round,gp_id,Team_Lineage,Type,Direction,Circut_length,Turns,Pace_profile,Flat_out_run,Slow_turns,Medium_turns,High_speed_turns,Turn_density,Complexity_label
PIA,McLaren,Austrian GP,Active-Aero-Hybrid-Era,30.2,27.1,942.8,0.0,67.913,0.1170000000000044,SOFT,31.8,26.9,942.2,0.0,67.251,0.2370000000000089,SOFT,31.8,28.7,944.2,0.0,67.344,0.2479999999999904,SOFT,,,,,,,,,33.4,24.7,942.8,0.0,SOFT,2026,2023-2026,0,8,178,McLaren,Race,Clockwise,4.32,10,Balanced-high speed,900,3,3,4,2.32,Flowing
VER,Red Bull Racing,Austrian GP,Active-Aero-Hybrid-Era,30.7,26.0,942.8,0.0,68.077,0.2810000000000059,SOFT,32.1,26.4,942.2,0.0,67.564,0.5499999999999972,SOFT,31.8,29.3,944.3,0.0,67.369,0.2729999999999961,SOFT,,,,,,,,,33.3,25.5,942.8,0.0,SOFT,2026,2023-2026,0,8,178,Red Bull Racing,Race,Clockwise,4.32,10,Balanced-high speed,900,3,3,4,2.32,Flowing
HAM,Ferrari,Austrian GP,Active-Aero-Hybrid-Era,30.2,27.1,942.8,0.0,68.461,0.6650000000000063,SOFT,31.8,26.9,942.2,0.0,67.611,0.5970000000000084,SOFT,31.9,28.7,944.2,0.0,67.211,0.1149999999999948,SOFT,,,,,,,,,33.4,25.1,942.8,0.0,SOFT,2026,2023-2026,0,8,178,Ferrari,Race,Clockwise,4.32,10,Balanced-high speed,900,3,3,4,2.32,Flowing
LIN,Racing Bulls,Austrian GP,Active-Aero-Hybrid-Era,30.2,29.3,943.0,0.0,68.726,0.9300000000000068,SOFT,31.8,26.7,942.2,0.0,68.378,1.3640000000000043,SOFT,31.8,28.4,944.3,0.0,68.109,1.012999999999991,SOFT,,,,,,,,,33.4,24.7,942.8,0.0,SOFT,2026,2023-2026,0,8,178,Toro Rosso-AlphaTauri-RB-Racing Bulls,Race,Clockwise,4.32,10,Balanced-high speed,900,3,3,4,2.32,Flowing
NOR,McLaren,Austrian GP,Active-Aero-Hybrid-Era,31.4,27.2,942.7,0.0,68.873,1.0770000000000124,MEDIUM,31.8,27.0,942.1,0.0,67.339,0.3250000000000028,SOFT,31.9,28.7,944.2,0.0,67.36,0.2639999999999958,SOFT,,,,,,,,,33.4,24.7,942.8,0.0,SOFT,2026,2023-2026,0,8,178,McLaren,Race,Clockwise,4.32,10,Balanced-high speed,900,3,3,4,2.32,Flowing
COL,Alpine,Austrian GP,Active-Aero-Hybrid-Era,30.2,29.3,943.0,0.0,68.962,1.166000000000011,SOFT,32.1,26.4,942.2,0.0,68.831,1.8170000000000075,SOFT,32.6,26.9,944.1,0.0,68.394,1.2980000000000018,SOFT,,,,,,,,,33.3,26.4,943.0,0.0,SOFT,2026,2023-2026,0,8,178,Alpine-Renault,Race,Clockwise,4.32,10,Balanced-high speed,900,3,3,4,2.32,Flowing
BEA,Haas F1 Team,Austrian GP,Active-Aero-Hybrid-Era,31.8,27.8,942.8,0.0,69.071,1.2750000000000057,SOFT,32.0,26.0,942.2,0.0,68.532,1.518000000000001,SOFT,31.7,28.4,944.3,0.0,68.529,1.4329999999999927,SOFT,,,,,,,,,33.6,25.8,942.9,0.0,SOFT,2026,2023-2026,0,8,178,Haas F1 Team,Race,Clockwise,4.32,10,Balanced-high speed,900,3,3,4,2.32,Flowing
HUL,Audi,Austrian GP,Active-Aero-Hybrid-Era,30.6,28.0,943.0,0.0,69.16499999999999,1.3689999999999998,SOFT,32.0,26.5,942.1,0.0,68.559,1.5450000000000017,SOFT,32.3,27.9,944.2,0.0,68.303,1.2069999999999936,SOFT,,,,,,,,,33.6,25.8,942.9,0.0,SOFT,2026,2023-2026,0,8,178,Sauber-Alfa Romeo-Kick Sauber-Audi,Race,Clockwise,4.32,10,Balanced-high speed,900,3,3,4,2.32,Flowing
HAD,Red Bull Racing,Austrian GP,Active-Aero-Hybrid-Era,31.4,27.2,942.7,0.0,69.481,1.6850000000000025,SOFT,32.1,26.4,942.1,0.0,67.758,0.7439999999999998,SOFT,32.6,26.9,944.1,0.0,67.912,0.8160000000000025,SOFT,,,,,,,,,33.4,25.1,942.8,0.0,SOFT,2026,2023-2026,0,8,178,Red Bull Racing,Race,Clockwise,4.32,10,Balanced-high speed,900,3,3,4,2.32,Flowing
BOT,Cadillac,Austrian GP,Active-Aero-Hybrid-Era,31.8,27.8,942.8,0.0,69.521,1.7250000000000083,SOFT,31.9,26.7,942.3,0.0,71.307,4.293000000000006,MEDIUM,32.2,27.3,944.2,0.0,69.74,2.6439999999999912,SOFT,,,,,,,,,33.5,24.7,943.1,0.0,SOFT,2026,2023-2026,0,8,178,Cadillac,Race,Clockwise,4.32,10,Balanced-high speed,900,3,3,4,2.32,Flowing
GAS,Alpine,Austrian GP,Active-Aero-Hybrid-Era,30.4,28.1,942.9,0.0,69.54599999999999,1.75,SOFT,31.8,26.3,942.2,0.0,68.376,1.362000000000009,SOFT,31.9,28.7,944.2,0.0,68.193,1.0969999999999942,SOFT,,,,,,,,,33.5,24.9,943.0,0.0,SOFT,2026,2023-2026,0,8,178,Alpine-Renault,Race,Clockwise,4.32,10,Balanced-high speed,900,3,3,4,2.32,Flowing
ALB,Williams,Austrian GP,Active-Aero-Hybrid-Era,30.2,29.3,943.0,0.0,69.644,1.8480000000000127,SOFT,32.0,26.5,942.1,0.0,68.83800000000001,1.8240000000000125,SOFT,31.7,28.4,944.3,0.0,68.992,1.8960000000000008,SOFT,,,,,,,,,33.5,24.7,943.1,0.0,SOFT,2026,2023-2026,0,8,178,Williams,Race,Clockwise,4.32,10,Balanced-high speed,900,3,3,4,2.32,Flowing
PER,Cadillac,Austrian GP,Active-Aero-Hybrid-Era,30.9,27.3,943.0,0.0,71.283,3.487000000000009,HARD,,,,,,,,31.8,28.7,944.2,0.0,69.53200000000001,2.436000000000007,SOFT,,,,,,,,,33.5,24.7,943.1,0.0,SOFT,2026,2023-2026,0,8,178,Cadillac,Race,Clockwise,4.32,10,Balanced-high speed,900,3,3,4,2.32,Flowing
ALO,Aston Martin,Austrian GP,Active-Aero-Hybrid-Era,30.7,26.0,942.8,0.0,71.333,3.537000000000006,SOFT,31.8,26.7,942.2,0.0,70.544,3.530000000000001,SOFT,32.3,27.9,944.2,0.0,70.421,3.325000000000003,SOFT,,,,,,,,,33.5,24.6,943.2,0.0,SOFT,2026,2023-2026,0,8,178,Force India-Racing Point-Aston Martin,Race,Clockwise,4.32,10,Balanced-high speed,900,3,3,4,2.32,Flowing
BOR,Audi,Austrian GP,Active-Aero-Hybrid-Era,,,,,,,,32.1,26.4,942.1,0.0,68.30000000000001,1.2860000000000156,SOFT,31.7,28.4,944.3,0.0,68.311,1.2150000000000034,SOFT,,,,,,,,,33.6,25.8,942.9,0.0,SOFT,2026,2023-2026,0,8,178,Sauber-Alfa Romeo-Kick Sauber-Audi,Race,Clockwise,4.32,10,Balanced-high speed,900,3,3,4,2.32,Flowing
LEC,Ferrari,Austrian GP,Active-Aero-Hybrid-Era,,,,,,,,31.7,26.4,942.2,0.0,67.855,0.8410000000000082,SOFT,32.6,26.9,944.1,0.0,67.452,0.3559999999999945,SOFT,,,,,,,,,33.4,24.7,942.8,0.0,SOFT,2026,2023-2026,0,8,178,Ferrari,Race,Clockwise,4.32,10,Balanced-high speed,900,3,3,4,2.32,Flowing
STR,Aston Martin,Austrian GP,Active-Aero-Hybrid-Era,,,,,,,,32.1,26.1,942.2,0.0,70.69800000000001,3.684000000000012,SOFT,32.3,27.9,944.2,0.0,70.56700000000001,3.471000000000004,SOFT,,,,,,,,,33.5,24.7,943.1,0.0,SOFT,2026,2023-2026,0,8,178,Force India-Racing Point-Aston Martin,Race,Clockwise,4.32,10,Balanced-high speed,900,3,3,4,2.32,Flowing
LAW,Racing Bulls,Austrian GP,Active-Aero-Hybrid-Era,,,,,,,,31.8,26.7,942.2,0.0,68.235,1.2210000000000036,SOFT,31.7,28.8,944.2,0.0,68.031,0.9350000000000024,SOFT,,,,,,,,,33.4,25.1,942.8,0.0,SOFT,2026,2023-2026,0,8,178,Toro Rosso-AlphaTauri-RB-Racing Bulls,Race,Clockwise,4.32,10,Balanced-high speed,900,3,3,4,2.32,Flowing
OCO,Haas F1 Team,Austrian GP,Active-Aero-Hybrid-Era,,,,,,,,31.7,26.4,942.2,0.0,68.83,1.8160000000000025,SOFT,32.1,27.4,944.1,0.0,68.707,1.61099999999999,SOFT,,,,,,,,,33.6,25.8,942.9,0.0,SOFT,2026,2023-2026,0,8,178,Haas F1 Team,Race,Clockwise,4.32,10,Balanced-high speed,900,3,3,4,2.32,Flowing
SAI,Williams,Austrian GP,Active-Aero-Hybrid-Era,,,,,,,,32.0,26.8,942.2,0.0,69.131,2.1170000000000044,SOFT,31.8,28.7,944.2,0.0,68.84299999999999,1.7469999999999857,SOFT,,,,,,,,,33.6,24.6,943.2,0.0,SOFT,2026,2023-2026,0,8,178,Williams,Race,Clockwise,4.32,10,Balanced-high speed,900,3,3,4,2.32,Flowing
VER,Red Bull Racing,Belgian GP,Active-Aero-Hybrid-Era,23.9,44.3,966.7,0.0,107.07,0.0,SOFT,24.3,41.1,966.3,0.0,106.416,0.47199999999998,SOFT,20.7,57.2,968.8,0.0,106.138,0.1480000000000103,SOFT,,,,,,,,,21.0,55.5,968.4,0.0,SOFT,2026,2023-2026,0,10,180,Red Bull Racing,Race,Clockwise,7.0,20,High-speed,1500,4,7,9,2.86,Flowing
HAM,Ferrari,Belgian GP,Active-Aero-Hybrid-Era,24.3,40.1,966.8,0.0,107.215,0.1450000000000102,SOFT,24.5,41.6,966.2,0.0,106.691,0.7469999999999857,SOFT,20.9,56.9,968.8,0.0,106.382,0.3920000000000101,SOFT,,,,,,,,,21.0,55.5,968.4,0.0,SOFT,2026,2023-2026,0,10,180,Ferrari,Race,Clockwise,7.0,20,High-speed,1500,4,7,9,2.86,Flowing
LEC,Ferrari,Belgian GP,Active-Aero-Hybrid-Era,24.3,40.1,966.8,0.0,107.277,0.2070000000000078,SOFT,24.5,41.6,966.2,0.0,107.035,1.0909999999999798,SOFT,21.0,57.3,968.9,0.0,106.75,0.7600000000000051,SOFT,,,,,,,,,21.1,55.8,968.4,0.0,SOFT,2026,2023-2026,0,10,180,Ferrari,Race,Clockwise,7.0,20,High-speed,1500,4,7,9,2.86,Flowing
HAD,Red Bull Racing,Belgian GP,Active-Aero-Hybrid-Era,23.9,43.5,966.8,0.0,107.322,0.2520000000000095,SOFT,24.1,40.7,966.3,0.0,106.714,0.7699999999999818,SOFT,20.7,58.2,968.9,0.0,107.096,1.1060000000000088,MEDIUM,,,,,,,,,20.7,56.3,968.6,0.0,SOFT,2026,2023-2026,0,10,180,Red Bull Racing,Race,Clockwise,7.0,20,High-speed,1500,4,7,9,2.86,Flowing
PIA,McLaren,Belgian GP,Active-Aero-Hybrid-Era,24.2,39.8,966.8,0.0,107.522,0.4520000000000124,SOFT,24.5,40.3,966.1,0.0,106.926,0.9819999999999852,SOFT,20.6,57.3,968.9,0.0,106.785,0.7950000000000017,SOFT,,,,,,,,,21.0,55.5,968.4,0.0,SOFT,2026,2023-2026,0,10,180,McLaren,Race,Clockwise,7.0,20,High-speed,1500,4,7,9,2.86,Flowing
ANT,Mercedes,Belgian GP,Active-Aero-Hybrid-Era,24.1,43.1,966.8,0.0,107.603,0.5330000000000013,SOFT,24.3,41.1,966.3,0.0,105.94400000000002,0.0,SOFT,20.5,59.5,968.9,0.0,105.99,0.0,SOFT,,,,,,,,,21.0,55.5,968.4,0.0,SOFT,2026,2023-2026,0,10,180,Mercedes,Race,Clockwise,7.0,20,High-speed,1500,4,7,9,2.86,Flowing
NOR,McLaren,Belgian GP,Active-Aero-Hybrid-Era,24.0,39.7,966.7,0.0,107.931,0.8610000000000042,SOFT,24.5,40.5,966.1,0.0,106.134,0.1899999999999835,SOFT,20.6,57.3,968.9,0.0,106.129,0.13900000000001,SOFT,,,,,,,,,21.2,55.7,968.4,0.0,SOFT,2026,2023-2026,0,10,180,McLaren,Race,Clockwise,7.0,20,High-speed,1500,4,7,9,2.86,Flowing
