Unnamed: 0,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:18:15.052000,NOR,1,,1.0,1.0,0 days 00:15:45.200000,,61.237,33.743,58.131,0 days 00:16:43.438000,0 days 00:17:17.151000,0 days 00:18:15.195000,181.0,276.0,237.0,88.0,False,HARD,1.0,True,McLaren,0 days 00:15:45.200000,2026-05-22 16:31:46.891,1,,False,,False,False,,153.111
1,0 days 00:19:37.699000,NOR,1,0 days 00:01:22.647000,2.0,1.0,,,23.288,24.633,34.726,0 days 00:18:38.340000,0 days 00:19:02.973000,0 days 00:19:37.699000,244.0,281.0,217.0,308.0,False,HARD,2.0,True,McLaren,0 days 00:18:15.052000,2026-05-22 16:34:16.743,1,,True,TRACK LIMITS AT TURN 13 LAP 3 ,False,True,82.647,82.64699999999999
2,0 days 00:21:12.717000,NOR,1,0 days 00:01:35.018000,3.0,1.0,,,26.239,26.675,42.104,0 days 00:20:03.938000,0 days 00:20:30.613000,0 days 00:21:12.717000,228.0,251.0,262.0,243.0,True,HARD,3.0,True,McLaren,0 days 00:19:37.699000,2026-05-22 16:35:39.390,1,,False,,False,True,95.018,95.018
3,0 days 00:22:33.425000,NOR,1,0 days 00:01:20.708000,4.0,1.0,,,21.77,24.046,34.892,0 days 00:21:34.487000,0 days 00:21:58.533000,0 days 00:22:33.425000,246.0,280.0,78.0,307.0,True,HARD,4.0,True,McLaren,0 days 00:21:12.717000,2026-05-22 16:37:14.408,126,,False,,False,False,80.708,80.708
4,0 days 00:24:56.913000,NOR,1,0 days 00:02:23.488000,5.0,1.0,,0 days 00:24:22.097000,40.284,31.544,71.66,0 days 00:23:13.709000,0 days 00:23:45.253000,0 days 00:24:56.913000,111.0,198.0,,264.0,False,HARD,5.0,True,McLaren,0 days 00:22:33.425000,2026-05-22 16:38:35.116,6,,False,,False,False,143.488,143.488
5,0 days 00:33:55.008000,NOR,1,,6.0,2.0,0 days 00:24:58.898000,0 days 00:26:34.287000,,,,,,,,,,,False,HARD,6.0,False,McLaren,0 days 00:24:56.913000,2026-05-22 16:40:58.604,6512,,False,,False,False,,
6,0 days 00:35:21.436000,NOR,1,0 days 00:01:26.428000,7.0,3.0,0 days 00:33:56.583000,,27.466,25.797,33.165,0 days 00:34:22.474000,0 days 00:34:48.271000,0 days 00:35:21.436000,245.0,274.0,213.0,293.0,False,HARD,7.0,False,McLaren,0 days 00:33:56.583000,2026-05-22 16:49:58.274,1,,False,,False,False,86.428,86.428
7,0 days 00:36:52.039000,NOR,1,0 days 00:01:30.603000,8.0,3.0,,,23.596,25.129,41.878,0 days 00:35:45.032000,0 days 00:36:10.161000,0 days 00:36:52.039000,239.0,287.0,241.0,208.0,False,HARD,8.0,False,McLaren,0 days 00:35:21.436000,2026-05-22 16:51:23.127,1,,False,,False,True,90.603,90.603
8,0 days 00:38:09.498000,NOR,1,0 days 00:01:17.459000,9.0,3.0,,,22.148,24.413,30.898,0 days 00:37:14.187000,0 days 00:37:38.600000,0 days 00:38:09.498000,234.0,280.0,261.0,304.0,True,HARD,9.0,False,McLaren,0 days 00:36:52.039000,2026-05-22 16:52:53.730,1,,False,,False,True,77.459,77.459
9,0 days 00:39:39.472000,NOR,1,0 days 00:01:29.974000,10.0,3.0,,,24.3,26.446,39.228,0 days 00:38:33.798000,0 days 00:39:00.244000,0 days 00:39:39.472000,234.0,260.0,250.0,177.0,False,HARD,10.0,False,McLaren,0 days 00:38:09.498000,2026-05-22 16:54:11.189,1,,False,,False,True,89.974,89.974
